ID,Iso_ID,reference,DOI,site_id,date,latlong,latlong_n,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD.CH4_value_permil,dD.CH4_uncertainty,dD.CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity.flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,size_class_multi,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
1,1,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR1,17/06/2003,133.884,1,2003,River,Strickland,DIC,-9.8,0.025,permil,NA,NA,,Arizona_AMS,70240,0.83,0.0039,fraction modern,-194,7.8,permil,1490,19,7.48,-7.5,141.384,Papua New Guinea,S,1.0834,0.7661,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,27.5,A,A,NA,75000,large,100000,35058.7,2630.451,21,803,85,229,3711,241,0,38,69,5,0,0,0,0,30,32,38,55,24,564,0,40,9,265,2403,151,0,76,25,14,4,0,0,0,30,29,41,88,0,664,0,57,1,1,8,1,1040.8
2,2,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR2,09/06/2003,134.711,1,2003,River,Strickland,DIC,-8.6,0.025,permil,NA,NA,,Arizona_AMS,70237,0.65,0.004,fraction modern,-373,8,permil,3515,25,7.48,-7.371,142.082,Papua New Guinea,S,1.0834,0.6,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,27.7,A,A,NA,5000,large,10000,154.8,7.956,0,65,10,263,2914,182,0,0,45,7,0,0,0,0,27,29,44,35,0,49,0,57,52,264,2865,179,0,0,42,7,0,0,0,0,27,28,45,35,0,85,0,41,22,1,8,1,1335.2
3,3,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR3,15/06/2003,134.438,1,2003,River,Strickland,DIC,-10.3,0.025,permil,NA,NA,,Arizona_AMS,70238,0.84,0.004,fraction modern,-183,7.9,permil,1390,19,7.85,-7.255,141.693,Papua New Guinea,S,1.0834,0.7754,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,26.9,A,A,NA,35000,large,100000,26338.8,2051.958,1,1054,110,216,3810,251,0,22,77,4,0,0,0,0,31,33,36,60,33,717,0,43,17,266,2820,176,0,72,87,9,0,0,0,0,32,30,38,121,0,84,0,49,16,1,8,1,2013.6
4,4,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,STR5,20/06/2003,135.144,1,2003,River,Strickland,DIC,-8.8,0.025,permil,NA,NA,,Arizona_AMS,70241,0.81,0.004,fraction modern,-214,8,permil,1670,20,7.69,-6.901,142.045,Papua New Guinea,S,1.0834,0.7477,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,25.1,A,A,NA,24000,large,100000,23626.3,1859.337,0,1166,121,211,3857,256,0,18,81,4,0,0,0,0,31,34,36,61,36,789,0,44,36,266,3433,211,0,83,83,5,0,0,0,0,31,29,40,121,0,176,0,10,31,1,8,1,1461.1
5,5,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY1,08/06/2003,133.732,2,2003,River,Fly,DIC,-10.8,0.025,permil,NA,NA,,Arizona_AMS,70235,0.88,0.0039,fraction modern,-147,7.8,permil,1040,18,7.24,-7.586,141.318,Papua New Guinea,S,1.0834,0.8123,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,29,A,A,NA,35000,large,100000,19518.7,2007.121,25,248,39,257,4500,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,265,2367,149,0,78,89,15,4,0,0,0,32,28,40,93,0,160,0,33,0,1,8,1,901.8
6,6,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY2,17/06/2003,133.736,1,2003,River,Fly,DIC,-10.5,0.025,permil,NA,NA,,Arizona_AMS,70239,0.91,0.0041,fraction modern,-120,8.1,permil,790,18,6.95,-7.588,141.324,Papua New Guinea,S,1.0834,0.84,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.5,A,A,NA,35000,large,100000,19527.7,2005.189,25,248,39,257,4499,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,266,2364,149,0,83,39,15,4,0,0,0,32,29,38,118,0,157,0,31,1,1,8,1,1057.5
7,7,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,FLY3,17/06/2003,133.732,2,2003,River,Fly,DIC,-10.6,0.025,permil,NA,NA,,Arizona_AMS,70234,0.9,0.004,fraction modern,-129,8,permil,870,18,6.92,-7.582,141.314,Papua New Guinea,S,1.0834,0.8307,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.1,A,A,NA,35000,large,100000,19518.7,2007.121,25,248,39,257,4500,286,0,56,72,10,0,0,0,0,31,33,35,51,11,156,0,21,7,265,2367,149,0,78,89,15,4,0,0,0,32,28,40,93,0,160,0,33,0,1,8,1,1094.3
8,8,"Alin, S. R., Aalto, R., Goni, M. A., Richey, J. E., and Dietrich, W. E. (2008). Biogeochemical characterization of carbon sources in the Strickland and Fly rivers, Papua New Guinea, J. Geophys. Res., 113, F01S05.",https://doi.org/10.1029/2006JF000625,HERB1,23/06/2003,134.229,1,2003,River,Herbert,DIC,-8.4,0.025,permil,NA,NA,,Arizona_AMS,70236,0.93,0.0039,fraction modern,-102,7.8,permil,600,17,7.06,-7.277,141.506,Papua New Guinea,S,1.0834,0.8584,River,"Unfiltered and preserved with mercuric chloride, AMS Arizona",,28.1,A,A,NA,5100,large,10000,7122.5,541.121,89,50,11,265,3579,221,0,90,46,6,0,0,0,0,28,29,42,35,0,77,0,30,12,266,2826,176,0,83,0,3,0,0,0,0,28,28,44,41,0,61,0,10,1,1,8,1,219.7
9,17,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,Beaver Pond Stream,01/01/1991,-33.770147,1,1991,Stream,Harp Basin,DIC,-22.1,0.2,permil,NA,NA,,,,1.11,0.01,fraction modern,102,10,permil,modern,NA,,45.377183,-79.14733,Canada,N,1.1437,0.9705,Stream,Collected and directly acidified for analysis ,,NA,C,A,NA,2,small,10,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,39.13405495
10,18,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,3A,01/01/1991,-33.769592,1,1991,Stream,Harp Basin,DIC,-21,0.2,permil,NA,NA,,,,1.13,0.01,fraction modern,127,10,permil,modern,NA,,45.373628,-79.14322,Canada,N,1.1437,0.988,Stream,Collected and directly acidified for analysis ,,NA,C,A,NA,1,small,10,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,100.7493755
11,19,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,5,01/01/1991,-33.746502,1,1991,Stream,Harp Basin,DIC,-22.9,0.2,permil,NA,NA,,,,1.16,0.01,fraction modern,157,10,permil,modern,NA,,45.384128,-79.13063,Canada,N,1.1437,1.0143,Stream,Collected and directly acidified for analysis ,,NA,C,A,NA,4,small,10,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,70.7743547
12,20,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,4,01/01/1991,-33.761833,1,1991,Stream,Harp Basin,DIC,-20,0.2,permil,NA,NA,,,,1.11,0.01,fraction modern,102,10,permil,modern,NA,,45.380527,-79.14236,Canada,N,1.1437,0.9705,Stream,Collected and directly acidified for analysis ,,NA,C,A,NA,3,small,10,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,41.63197336
13,21,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,4_21,01/01/1991,-33.766254,1,1991,Stream,Harp Basin,DIC,-19,0.2,permil,NA,NA,,,,1.18,0.01,fraction modern,174,10,permil,modern,NA,,45.377401,-79.143655,Canada,N,1.1437,1.0318,Stream,Collected and directly acidified for analysis ,,NA,C,A,NA,0,small,10,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,910.9
14,367,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,1,24/03/2014,-82.00371753,3,2014,River,Colorado River,DIC,-7,0.1,permil,NA,NA,,,,0.894,0.006,fraction modern,-113,3,permil,900,54.5,,32.71731647,-114.721034,USA,N,1.0262,0.8712,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,600000,large,1000000,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,2306.411324
15,369,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,1,01/04/2014,-82.00371753,3,2014,River,Colorado River,DIC,-7.2,0.1,permil,NA,NA,,,,0.8742,0.006,fraction modern,-133,3,permil,1080,55.5,,32.71731647,-114.721034,USA,N,1.0262,0.8519,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,600000,large,1000000,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,2323.064113
16,370,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,1,17/04/2014,-82.00371753,3,2014,River,Colorado River,DIC,7.6,0.1,permil,NA,NA,,,,0.8962,0.006,fraction modern,-111,3,permil,880,54,,32.71731647,-114.721034,USA,N,1.0262,0.8734,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,600000,large,1000000,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,1332.223147
17,374,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,2,17/04/2014,-82.07397079,1,2014,River,Colorado River,DIC,-8.5,0.1,permil,NA,NA,,,,0.8923,0.006,fraction modern,-115,3,permil,915,54.5,,32.67247721,-114.746448,USA,N,1.0262,0.8696,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,610000,large,1000000,615852.3,314.859,3,1706,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,38,225,69,4,0,0,0,34,18,69,0,0,20,30,50,6,0,350,26,380,65,13,4,1,NA
18,375,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607– 627.",https://doi.org/10.1002/2016JG003555,3,25/03/2014,-82.28298602,2,2014,River,Colorado River,DIC,-8,0.1,permil,NA,NA,,,,0.8907,0.006,fraction modern,-116,3,permil,930,54.5,,32.52443838,-114.8074244,USA,N,1.0262,0.8679,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",NA,C,B,NA,620000,large,1000000,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1865.112406
